nTimestamp,flow
0,1892
1,1888
2,1864
3,1819
4,1832
5,1832
6,1832
7,1840
8,1832
9,1840
10,1832
11,1812
12,1840
13,1840
14,1835
15,1839
16,1842
17,1836
18,1828
19,1828
20,1828
21,1800
22,1820
23,1812
24,1816
25,1812
26,1816
27,1824
28,1818
29,1802
30,1808
31,1778
32,1807
33,1793
34,1811
35,1796
36,1808
37,1821
38,1823
39,1832
40,1828
41,1832
42,1836
43,1833
44,1835
45,1839
46,1841
47,1836
48,1840
49,1840
50,1839
51,1837
52,1832
53,1836
54,1844
55,1844
56,1840
57,1837
58,1835
59,1840
60,1836
61,1844
62,1844
63,1844
64,1840
65,1844
66,1840
67,1837
68,1839
69,1844
70,1841
71,1840
72,1839
73,1840
74,1836
75,1840
76,1840
77,1835
78,1834
79,1823
80,1822
81,1826
82,1824
83,1814
84,1812
85,1806
86,1826
87,1826
88,1804
89,1824
90,1816
91,1824
92,1828
93,1823
94,1801
95,1800
96,1824
97,1824
98,1836
99,1844
100,1848
101,1852
102,1844
103,1848
104,1848
105,1852
106,1849
107,1855
108,1847
109,1842
110,1844
111,1851
112,1847
113,1853
114,1852
115,1856
116,1848
117,1842
118,1845
119,1842
120,1847
121,1852
122,1844
123,1843
124,1849
125,1839
126,1845
127,1856
128,1852
129,1852
130,1844
131,1848
132,1842
133,1846
134,1848
135,1844
136,1848
137,1852
138,1848
139,1850
140,1850
141,1844
142,1842
143,1846
144,1844
145,1840
146,1832
147,1832
148,1828
149,1834
150,1830
151,1832
152,1840
153,1848
154,1848
155,1836
156,1833
157,1839
158,1835
159,1833
160,1832
161,1832
162,1832
163,1830
164,1835
165,1831
166,1844
167,1836
168,1836
169,1844
170,1832
171,1836
172,1836
173,1832
174,1832
175,1836
176,1832
177,1832
178,1834
179,1834
180,1838
181,1830
182,1832
183,1828
184,1832
185,1840
186,1840
187,1840
188,1836
189,1840
190,1837
191,1835
192,1837
193,1843
194,1840
195,1832
196,1840
197,1832
198,1836
199,1840
200,1835
201,1837
202,1836
203,1836
204,1840
205,1832
206,1836
207,1831
208,1829
209,1840
210,1832
211,1836
212,1836
213,1836
214,1836
215,1836
216,1836
217,1836
218,1832
219,1836
220,1840
221,1837
222,1835
223,1840
224,1836
225,1836
226,1837
227,1839
228,1840
229,1836
230,1840
231,1834
232,1838
233,1836
234,1832
235,1836
236,1836
237,1836
238,1832
239,1836
240,1840
241,1836
242,1840
243,1840
244,1844
245,1836
246,1836
247,1836
248,1836
249,1840
250,1828
251,1839
252,1833
253,1840
254,1834
255,1837
256,1836
257,1829
258,1832
259,1824
260,1812
261,1760
262,1808
263,1805
264,1795
265,1823
266,1813
267,1808
268,1812
269,1794
270,1815
271,1811
272,1820
273,1816
274,1820
275,1805
276,1827
277,1812
278,1820
279,1828
280,1836
281,1832
282,1828
283,1820
284,1812
285,1836
286,1832
287,1832
288,1832
289,1828
290,1827
291,1833
292,1836
293,1832
294,1835
295,1833
296,1828
297,1836
298,1827
299,1833
300,1836
301,1816
302,1839
303,1836
304,1832
305,1836
306,1836
307,1841
308,1839
309,1840
310,1840
311,1836
312,1836
313,1840
314,1840
315,1836
316,1836
317,1836
318,1821
319,1823
320,1800
321,1825
322,1819
323,1803
324,1817
325,1824
326,1816
327,2215
328,2317
329,2293
330,2231
331,2284
332,2304
333,2316
334,2318
335,2314
336,2324
337,2334
338,2322
339,2328
340,2328
341,2332
342,2340
343,2324
344,2328
345,2328
346,2320
347,2324
348,2213
349,1715
350,1720
351,1736
352,1748
353,1744
354,1752
355,1756
356,1768
357,1762
358,1758
359,1750
360,1754
361,1740
362,1736
363,1740
364,1744
365,1752
366,1743
367,1741
368,1736
369,1728
370,1732
371,1728
372,1736
373,1740
374,1738
375,1738
376,1728
377,1736
378,1736
379,1784
380,1704
381,1700
382,1720
383,1716
384,1776
385,1772
386,1728
387,1732
388,1720
389,1716
390,2236
391,2264
392,2268
393,2275
394,2229
395,2255
396,2253
397,2284
398,2220
399,2272
400,2216
401,2272
402,2280
403,2288
404,2276
405,2280
406,2270
407,2274
408,2272
409,2272
410,2048
411,2046
412,1986
413,1996
414,1997
415,1991
416,1996
417,2004
418,2000
419,2004
420,2008
421,2011
422,2001
423,2007
424,1990
425,1999
426,2008
427,1996
428,2000
429,1996
430,1984
431,1988
432,1998
433,1994
434,2000
435,1984
436,1988
437,2024
438,2063
439,2129
440,2251
441,2245
442,2197
443,1871
444,1620
445,1696
446,1672
447,1692
448,1794
449,1814
450,1824
451,1824
452,1822
453,1818
454,1815
455,1841
456,1836
457,1824
458,1823
459,1825
460,1827
461,1821
462,1828
463,1827
464,1825
465,1828
466,1828
467,1832
468,1820
469,1832
470,1828
471,1832
472,1828
473,1828
474,1832
475,1836
476,1833
477,1835
478,1836
479,1836
480,1828
481,1829
482,1831
483,1824
484,1828
485,1828
486,1828
487,1828
488,1825
489,1831
490,1832
491,1836
492,1836
493,1826
494,1830
495,1824
496,1828
497,1824
498,1820
499,1820
500,1819
501,1813
502,1810
503,1763
504,1797
505,1823
506,1932
507,2232
508,2228
509,2202
510,2201
511,2207
512,2216
513,2252
514,2212
515,2232
516,2236
517,2228
518,2224
519,2228
520,2232
521,2224
522,2236
523,2228
524,2232
525,2231
526,2229
527,2236
528,2232
529,2184
530,2028
531,2015
532,2012
533,1977
534,1956
535,1960
536,1964
537,1960
538,1964
539,1960
540,1954
541,1950
542,1958
543,1950
544,1952
545,1956
546,1948
547,1954
548,1954
549,1952
550,1956
551,1948
