nTimestamp,flow
0,2844
1,2844
2,2846
3,2844
4,2842
5,2844
6,2840
7,2841
8,2842
9,2840
10,2844
11,2846
12,2844
13,2842
14,2846
15,2844
16,2840
17,2840
18,2842
19,2846
20,2842
21,2844
22,2844
23,2844
24,2844
25,2844
26,2844
27,2844
28,2844
29,2844
30,2842
31,2846
32,2844
33,2846
34,2846
35,2844
36,2834
37,2844
38,2846
39,2844
40,2844
41,2842
42,2848
43,2844
44,2844
45,2844
46,2844
47,2844
48,0
49,2844
50,2846
51,2844
52,2844
53,2840
54,2846
55,2846
56,2844
57,2844
58,2844
59,2844
60,2844
61,2844
62,2844
63,2844
64,2842
65,2844
66,2846
67,2846
68,2840
69,2844
70,2844
71,2848
72,2844
73,2838
74,2844
75,2844
76,2848
77,2842
78,2842
79,2844
80,2842
81,2846
82,2846
83,2842
84,2844
85,2842
86,2844
87,2846
88,2844
89,2844
90,2844
91,2846
92,2844
93,2844
94,2842
95,2844
96,2842
97,2844
98,2844
99,2846
100,2844
101,2844
102,2844
103,2844
104,2842
105,2844
106,2844
107,2842
108,2842
109,2844
110,2842
111,2844
112,2846
113,2844
114,2844
115,2844
116,2842
117,2848
118,2844
119,2844
120,2844
121,2844
122,2844
123,2844
124,2848
125,2844
126,2840
127,2840
128,2844
129,2844
130,2844
131,2844
132,2846
133,2842
134,2844
135,2844
136,2844
137,2844
138,2842
139,2846
140,2846
141,2844
142,2844
143,2842
144,2844
145,2846
146,2844
147,2844
148,2844
149,2848
150,2844
151,2844
152,2844
153,2846
154,2846
155,2844
156,2836
157,2844
158,2844
159,2844
160,2842
161,2844
162,2844
163,2844
164,2846
165,2842
166,2844
167,2844
168,2844
169,2844
170,2842
171,2846
172,2844
173,2844
174,2844
175,2846
176,2844
177,2844
178,2842
179,2844
180,2844
181,2840
182,2846
183,2842
184,2844
185,2844
186,2840
187,2844
188,2844
189,2844
190,2846
191,2842
192,2844
193,2844
194,2842
195,2840
196,2842
197,2846
198,2842
199,2846
200,2844
201,2844
202,2836
203,2840
204,2842
205,2844
206,2844
207,2844
208,2844
209,2846
210,2844
211,2844
212,2844
213,2844
214,2842
215,2846
216,2844
217,2844
218,2842
219,2842
220,2848
221,2844
222,2844
223,2844
224,2844
225,2848
226,2844
227,2840
228,2846
229,2846
230,2844
