nTimestamp,flow
0,1892
1,1887
2,1865
3,1816
4,1834
5,1830
6,1834
7,1839
8,1831
9,1842
10,1833
11,1809
12,1840
13,1840
14,1836
15,1840
16,1840
17,1838
18,1828
19,1826
20,1828
21,1802
22,1822
23,1812
24,1815
25,1811
26,1816
27,1824
28,1820
29,1802
30,1808
31,1780
32,1806
33,1794
34,1811
35,1795
36,1808
37,1821
38,1824
39,1829
40,1829
41,1831
42,1836
43,1836
44,1833
45,1839
46,1840
47,1838
48,1839
49,1841
50,1838
51,1836
52,1834
53,1834
54,1844
55,1844
56,1840
57,1839
58,1833
59,1842
60,1836
61,1842
62,1846
63,1844
64,1839
65,1843
66,1842
67,1838
68,1838
69,1842
70,1843
71,1840
72,1837
73,1840
74,1838
75,1840
76,1838
77,1836
78,1836
79,1820
80,1824
81,1824
82,1824
83,1816
84,1812
85,1806
86,1826
87,1826
88,1806
89,1822
90,1818
91,1824
92,1826
93,1824
94,1802
95,1799
96,1825
97,1824
98,1836
99,1844
100,1848
101,1850
102,1846
103,1848
104,1846
105,1852
106,1852
107,1852
108,1848
109,1843
110,1844
111,1849
112,1848
113,1852
114,1854
115,1854
116,1850
117,1842
118,1844
119,1843
120,1845
121,1852
122,1844
123,1844
124,1849
125,1839
126,1846
127,1854
128,1854
129,1852
130,1842
131,1848
132,1844
133,1846
134,1848
135,1845
136,1846
137,1851
138,1848
139,1852
140,1848
141,1846
142,1842
143,1846
144,1842
145,1842
146,1832
147,1831
148,1827
149,1836
150,1830
151,1832
152,1838
153,1850
154,1848
155,1836
156,1833
157,1837
158,1836
159,1832
160,1832
161,1832
162,1834
163,1830
164,1835
165,1831
166,1842
167,1839
168,1835
169,1843
170,1833
171,1836
172,1834
173,1832
174,1833
175,1837
176,1832
177,1830
178,1836
179,1833
180,1839
181,1830
182,1830
183,1830
184,1830
185,1841
186,1841
187,1838
188,1838
189,1841
190,1837
191,1832
192,1839
193,1841
194,1840
195,1832
196,1840
197,1832
198,1836
199,1840
200,1836
201,1836
202,1838
203,1836
204,1838
205,1835
206,1834
207,1831
208,1830
209,1838
210,1834
211,1836
212,1834
213,1838
214,1836
215,1834
216,1836
217,1836
218,1832
219,1838
220,1839
221,1838
222,1835
223,1838
224,1838
225,1836
226,1838
227,1838
228,1838
229,1838
230,1838
231,1836
232,1836
233,1836
234,1832
235,1836
236,1836
237,1838
238,1832
239,1836
240,1838
241,1837
242,1839
243,1842
244,1842
245,1836
246,1838
247,1834
248,1836
249,1840
250,1830
251,1838
252,1833
253,1839
254,1836
255,1836
256,1836
257,1830
258,1832
259,1824
260,1812
261,1758
262,1808
263,1807
264,1795
265,1822
266,1814
267,1808
268,1810
269,1796
270,1816
271,1808
272,1822
273,1814
274,1822
275,1803
276,1825
277,1812
278,1820
279,1830
280,1836
281,1830
282,1828
283,1822
284,1812
285,1836
286,1831
287,1832
288,1834
289,1828
290,1826
291,1834
292,1836
293,1832
294,1834
295,1832
296,1831
297,1833
298,1828
299,1834
300,1834
301,1817
302,1839
303,1834
304,1832
305,1837
306,1837
307,1841
308,1839
309,1840
310,1838
311,1838
312,1835
313,1839
314,1840
315,1836
316,1838
317,1836
318,1822
319,1820
320,1802
321,1828
322,1816
323,1805
324,1818
325,1822
326,1816
327,2216
328,2316
329,2294
330,2230
331,2288
332,2302
333,2316
334,2318
335,2316
336,2324
337,2333
338,2323
339,2328
340,2328
341,2330
342,2340
343,2324
344,2328
345,2328
346,2320
347,2326
348,2214
349,1714
350,1718
351,1736
352,1750
353,1744
354,1750
355,1758
356,1766
357,1764
358,1756
359,1752
360,1754
361,1739
362,1735
363,1740
364,1744
365,1754
366,1742
367,1742
368,1736
369,1726
370,1732
371,1728
372,1738
373,1740
374,1738
375,1738
376,1726
377,1739
378,1735
379,1782
380,1704
381,1702
382,1718
383,1718
384,1776
385,1772
386,1726
387,1733
388,1721
389,1716
390,2234
391,2266
392,2266
393,2276
394,2229
395,2257
396,2252
397,2283
398,2221
399,2270
400,2216
401,2272
402,2282
403,2286
404,2278
405,2280
406,2269
407,2273
408,2272
409,2274
410,2046
411,2048
412,1986
413,1997
414,1998
415,1989
416,1998
417,2004
418,2000
419,2002
420,2008
421,2012
422,2003
423,2005
424,1991
425,1999
426,2007
427,1995
428,2000
429,1998
430,1984
431,1986
432,2000
433,1992
434,2000
435,1984
436,1991
437,2021
438,2064
439,2129
440,2251
441,2244
442,2199
443,1869
444,1622
445,1694
446,1672
447,1692
