nTimestamp,flow
0,1424
1,1422
2,1422
3,1422
4,1422
5,1424
6,1422
7,1422
8,1422
9,1420
10,1422
11,1424
12,1420
13,1422
14,1422
15,1422
16,1424
17,1422
18,1420
19,1422
20,1422
21,1422
22,1424
23,1422
24,1422
25,1422
26,1422
27,1422
28,1424
29,1422
30,1422
31,1422
32,1422
33,1424
34,1422
35,1422
36,1422
37,1422
38,1422
39,1424
40,1422
41,1422
42,1422
43,1424
44,1422
45,1422
46,1422
47,1422
48,1424
49,1422
50,1422
51,1422
52,1422
53,1424
54,1422
55,1422
56,1422
57,1422
58,-50
59,1422
60,1422
61,1422
62,1424
63,1422
64,1422
65,1422
66,1424
67,1422
68,1422
69,1422
70,1422
71,1422
72,1422
73,1422
74,1422
75,1424
76,1422
77,1422
78,1422
79,1420
80,1420
81,1424
82,1422
83,1422
84,1422
85,1422
86,1424
87,1422
88,1422
89,1422
90,1422
91,1424
92,1422
93,1422
94,1422
95,1424
96,1424
97,1422
98,1422
99,1422
100,1422
101,1422
102,1422
103,1422
104,1424
105,1422
106,1422
107,1422
108,1422
109,1422
110,1424
111,1422
112,1422
113,1422
114,1422
115,1424
116,1422
117,1422
118,1422
119,1422
120,1422
121,1424
122,1422
123,1422
124,1422
125,1422
126,1422
127,1424
128,1422
129,1422
130,1422
131,1422
132,1424
133,1422
134,1422
135,1422
136,1422
137,1424
138,1422
139,1422
140,1422
141,1420
142,1422
143,1424
144,1422
145,1422
146,1422
147,1422
148,1422
149,1420
150,1424
151,1422
152,1422
153,1422
154,1422
155,1422
156,1424
157,1422
158,1420
159,1422
160,1422
161,1422
162,1424
163,1422
164,1422
165,1420
166,1422
167,1424
168,1422
169,1422
170,1422
171,1424
172,1422
173,1422
174,1422
175,1422
176,1424
177,1422
178,1420
179,1422
180,1422
181,1424
182,1422
183,1422
184,1422
185,1420
186,1424
187,1422
188,1422
189,1422
190,1422
191,1424
192,1422
193,1422
194,1422
195,1422
196,1424
197,1422
198,1422
199,1424
200,1422
201,1422
202,1422
203,1422
204,1424
205,1422
206,1422
207,1420
208,1422
209,1424
210,1422
211,1422
212,1422
213,1422
214,1422
215,1424
216,1422
217,1422
218,1422
219,1424
220,1422
221,1422
222,1422
223,1422
224,1424
225,1422
226,1422
227,1422
228,1424
229,1422
230,1422
231,1422
232,1424
233,1422
234,1422
235,1422
236,1422
237,1424
238,1422
239,1422
240,1420
241,1424
242,1422
243,1422
244,1422
245,1422
246,1424
247,1422
248,1422
249,1422
250,1422
251,1424
252,1422
253,1422
254,1422
255,1422
256,1422
257,1422
258,1424
259,1422
260,1422
261,1422
262,1422
263,1422
264,1424
265,1422
266,1422
267,1422
268,1424
269,1422
270,1424
271,1422
272,1422
273,1420
274,1422
275,1422
276,1422
277,1424
278,1422
279,1422
280,1422
281,1422
282,1422
283,1422
284,1424
285,1420
286,1422
287,1422
288,1422
289,1422
290,1424
291,1422
292,1422
293,1422
294,1420
295,1422
296,1424
297,1422
298,1422
299,1422
300,1422
301,1424
302,1422
303,1422
304,1422
305,1420
306,1424
307,1422
308,1422
309,1422
310,1422
311,1422
312,1424
313,1422
314,1422
315,1422
316,1424
317,1422
318,1422
319,1420
320,1422
321,1422
322,1422
323,1424
324,1422
325,1422
326,1422
327,1422
328,1422
329,1422
330,1422
331,1422
332,1424
333,1422
334,1422
335,1422
336,1422
337,1422
338,1422
339,1422
340,1422
341,1422
342,1422
343,1422
344,1422
345,1424
346,1422
347,1422
348,1416
349,1422
350,1422
351,1422
352,1422
353,1422
354,1422
355,1422
356,1422
357,1422
358,1422
359,1422
360,1422
361,1424
362,1422
363,1422
364,1422
365,1422
366,1422
367,1422
368,1422
369,1420
370,1422
371,1422
372,1422
373,1422
374,1422
375,1422
376,1422
377,1422
378,1422
379,1270
380,1422
381,1422
382,1422
383,1424
384,1422
385,1422
386,1422
387,1422
388,1422
389,1422
390,1424
391,1422
392,1422
393,1422
394,1422
395,1424
396,1422
397,1422
398,1422
399,1422
400,1420
401,1424
402,1420
403,1422
404,1422
405,1422
406,1424
407,1422
408,1422
409,1420
410,1422
411,1424
412,1422
413,1420
414,1422
415,1420
416,1422
417,1422
418,1422
419,1422
420,1422
421,1422
422,1422
423,1422
424,1422
425,1420
426,1422
427,1422
428,1420
429,1422
430,1422
431,1424
432,1422
433,1422
434,1422
435,1422
436,1424
437,1422
438,1422
439,1422
440,1422
441,1424
442,1422
443,1422
444,1422
445,1420
446,1424
447,1422
448,1420
449,1422
450,1424
451,1422
452,1422
453,1420
454,1424
455,1422
456,1422
457,1422
458,1424
459,1422
460,1422
461,1420
462,1422
463,1424
464,1420
465,1420
466,1422
467,1424
468,1422
469,1422
470,1422
471,1422
472,1424
473,1422
474,1422
475,1422
476,1422
477,1420
478,1422
479,1422
480,1422
481,1422
482,1422
483,1422
484,1422
485,1422
486,1424
487,1422
488,1422
489,1422
490,1424
491,1422
492,1422
493,1422
494,1422
495,1424
496,1422
497,1422
498,1422
499,1424
500,1422
501,1422
502,1420
503,1424
504,1422
505,1422
506,1420
507,1422
508,1424
509,1422
510,1422
511,1420
512,1422
513,1420
514,1420
515,1422
516,1422
517,1424
518,1422
519,1422
520,1420
521,1422
522,1424
523,1422
524,1418
525,1422
526,1422
527,1424
528,1422
529,1422
530,1420
531,1420
532,1422
533,1422
534,1422
535,1422
536,1424
537,1422
538,1422
539,1422
540,1422
541,1422
542,1422
543,1420
544,1422
545,1422
546,1422
547,1422
548,1420
549,1422
550,1422
551,1424
552,1422
553,1422
554,1422
555,1422
556,1424
557,1422
558,1422
559,1422
560,1422
561,1422
562,1422
563,1422
564,1422
565,1422
566,1420
567,1424
568,1422
569,1422
570,1422
571,1424
572,1422
573,1422
574,1422
575,1422
576,1424
577,1422
578,1422
579,1422
580,1422
581,1424
582,1420
583,1422
584,1422
585,1422
586,1424
587,1422
588,1422
589,1422
590,1422
591,1422
592,1422
593,1422
594,1422
