nTimestamp,flow
0,6072
1,6232
2,6498
3,6470
4,6162
5,6134
6,6048
7,6002
8,6018
9,5910
10,5718
11,5714
12,5746
13,5478
14,5478
15,5508
16,5364
17,5282
18,5266
19,5262
20,5258
21,5262
22,5256
23,5258
24,5260
25,5296
26,5266
27,5272
28,5268
29,5318
30,5302
31,5354
32,5318
33,5366
34,5354
35,5510
36,5610
37,5526
38,5606
39,5668
40,5912
41,5796
42,5740
43,5658
44,5954
45,6316
46,6336
47,6432
48,6372
49,5964
50,6400
51,6468
52,6068
53,5896
54,5726
55,5554
56,5362
57,5278
58,5258
59,5270
60,5326
61,5388
62,5402
63,5536
64,5872
65,6148
66,6480
67,6574
68,5996
69,6014
70,6080
71,5864
72,6016
73,5902
74,5890
75,5910
76,5722
77,5594
78,5492
79,5486
80,5458
81,5712
82,5730
83,5880
84,6140
85,6324
86,6340
87,6578
88,6488
89,6186
90,5942
91,5776
92,5624
93,5632
94,5596
95,5444
96,5354
97,2290
98,1706
99,1616
100,1614
101,1614
102,1614
103,1618
104,1614
105,1656
106,1662
107,1640
108,1654
109,1656
110,1642
111,1646
112,1688
113,1654
114,1714
115,1792
116,1828
117,1880
118,2088
119,2120
120,2068
121,2378
122,2512
123,2704
124,2766
125,2654
126,2892
127,2896
128,2656
129,2814
130,2670
131,2454
132,2364
133,2438
134,2346
135,1944
136,1826
137,1672
138,1634
139,1620
140,1624
141,1646
142,1646
143,1638
144,1624
145,1616
146,1620
147,1664
148,1686
149,1636
150,1654
151,1804
152,1892
153,1998
154,2048
155,2056
156,1856
157,1696
158,1644
159,1616
160,1614
161,1614
162,1632
163,1620
164,1674
165,1778
166,1878
167,2010
168,2086
169,2046
170,1922
171,1800
172,1650
173,1632
174,1650
175,1622
176,1626
177,1614
178,1660
179,1674
180,1738
181,1632
182,1632
183,1616
184,1614
185,1624
186,1616
187,1614
188,1614
189,1632
190,1636
191,1648
192,1680
193,1822
194,1898
195,2420
196,2610
197,2872
198,2526
199,2454
200,2350
201,2212
202,2280
203,2730
204,2898
205,2924
206,2516
207,2336
208,2712
209,2794
210,2922
211,2820
212,2656
213,2292
214,2228
215,2678
216,2564
217,2314
218,1974
219,2198
220,2210
221,2014
222,2192
223,2550
224,2734
225,2770
226,2854
227,2920
228,2882
229,2828
230,2790
231,2846
232,2868
233,2900
234,2850
235,2806
236,2708
237,2610
238,2850
239,2772
240,2662
241,2786
242,2666
243,2550
244,2684
245,2608
246,2264
247,1934
248,2272
249,2432
250,2612
251,2836
252,2404
253,2602
254,2854
255,2892
256,2766
257,2538
258,2764
259,2908
260,2886
261,2720
262,2780
263,2328
264,2426
265,2138
266,1938
267,1752
268,1706
269,1830
270,1830
271,1720
272,1660
273,1612
274,1616
275,1630
276,1622
277,1614
278,1614
279,1624
280,1646
281,1630
282,1630
283,1622
284,1614
285,1622
286,1634
287,1614
288,1628
289,1646
290,1748
291,1774
292,1660
293,1634
294,1630
295,1620
296,1656
297,1700
298,1798
299,1800
300,1734
301,1678
302,1668
303,1644
304,1692
305,1790
306,1856
307,2126
308,2234
309,2270
310,2366
311,2712
312,2774
313,2732
314,2596
315,2810
316,2544
317,2138
318,1992
319,1878
320,1974
321,2156
322,2070
323,1954
324,1880
325,1986
326,1994
327,1932
328,2006
329,1950
330,2042
331,2128
332,1984
333,1878
334,1790
335,1692
336,1614
337,1624
338,1614
339,1614
340,1614
341,1668
342,1680
343,1676
344,1654
345,1870
346,2248
347,2544
348,2554
349,2182
350,1992
351,1968
352,2122
353,2146
354,2234
355,2016
356,2046
357,2066
358,2272
359,2252
360,2178
361,2378
362,2334
363,2432
364,2336
365,2440
366,2252
367,2252
368,2480
369,2346
370,2212
371,2572
372,2654
373,2728
374,2704
375,2612
376,2532
377,2682
378,2714
379,2698
380,3006
381,2786
382,2464
383,2132
384,2116
385,1944
