nTimestamp,flow
0,2838
1,2832
2,2796
3,2730
4,2748
5,2748
6,2748
7,2760
8,2748
9,2760
10,2749
11,2718
12,2760
13,2759
14,2751
15,2760
16,2760
17,2758
18,2742
19,2741
20,2743
21,2702
22,2732
23,2718
24,2724
25,2718
26,2724
27,2736
28,2726
29,2704
30,2712
31,2672
32,2710
33,2690
34,2717
35,2693
36,2712
37,2731
38,2736
39,2743
40,2746
41,2748
42,2754
43,2750
44,2752
45,2756
46,2760
47,2758
48,2760
49,2760
50,2756
51,2758
52,2749
53,2753
54,2765
55,2767
56,2759
57,2756
58,2753
59,2760
60,2754
61,2766
62,2766
63,2766
64,2760
65,2762
66,2764
67,2756
68,2758
69,2766
70,2761
71,2760
72,2757
73,2758
74,2758
75,2760
76,2760
77,2751
78,2753
79,2734
80,2732
81,2736
82,2739
83,2721
84,2718
85,2710
86,2738
87,2740
88,2710
89,2736
90,2724
91,2736
92,2742
93,2732
94,2704
95,2700
96,2736
97,2736
98,2754
99,2766
100,2772
101,2775
102,2769
103,2772
104,2772
105,2778
106,2774
107,2780
108,2770
109,2766
110,2766
111,2776
112,2768
113,2782
114,2778
115,2780
116,2776
117,2762
118,2766
119,2765
120,2771
121,2778
122,2765
123,2763
124,2776
125,2756
126,2770
127,2784
128,2778
129,2778
130,2766
131,2772
132,2762
133,2770
134,2772
135,2767
136,2771
137,2778
138,2771
139,2775
140,2774
141,2768
142,2762
143,2770
144,2766
145,2760
146,2748
147,2748
148,2742
149,2750
150,2746
151,2748
152,2760
153,2772
154,2772
155,2754
156,2749
157,2758
158,2751
159,2752
160,2746
161,2749
162,2749
163,2744
164,2753
165,2747
166,2763
167,2758
168,2753
169,2766
170,2748
171,2754
172,2754
173,2744
174,2752
175,2754
176,2748
177,2748
178,2750
179,2752
180,2756
181,2746
182,2745
183,2745
184,2745
185,2763
186,2760
187,2759
188,2755
189,2761
190,2755
191,2750
192,2757
193,2765
194,2757
195,2748
196,2760
197,2751
198,2752
199,2761
200,2751
201,2756
202,2756
203,2754
204,2760
205,2749
206,2753
207,2744
208,2746
209,2756
210,2752
211,2754
212,2751
213,2757
214,2755
215,2753
216,2754
217,2754
218,2748
219,2754
220,2760
221,2755
222,2753
223,2757
224,2757
225,2754
226,2756
227,2758
228,2758
229,2757
230,2755
231,2754
232,2756
233,2756
234,2747
235,2752
236,2756
237,2755
238,2748
239,2755
240,2756
241,2757
242,2760
243,2760
244,2763
245,2756
246,2755
247,2754
248,2754
249,2760
250,2742
251,2756
252,2752
253,2760
254,2750
255,2754
256,2754
257,2746
258,2748
259,2736
260,2718
261,2640
262,2709
263,2710
264,2693
265,2732
266,2722
267,2712
268,2718
269,2690
270,2724
271,2715
272,2731
273,2724
274,2730
275,2708
276,2740
277,2716
278,2732
279,2742
280,2754
281,2748
282,2742
283,2730
284,2720
285,2754
286,2748
287,2748
288,2748
289,2742
290,2738
291,2752
292,2754
293,2748
294,2750
295,2752
296,2743
297,2751
298,2740
299,2752
300,2752
301,2727
302,2759
303,2754
304,2748
305,2754
306,2754
307,2761
308,2759
309,2761
310,2759
311,2754
312,2754
313,2759
314,2761
315,2754
316,2754
317,2754
318,2732
319,2730
320,2709
321,2738
322,2726
323,2706
324,2728
325,2733
326,2726
327,3320
328,3479
329,3438
330,3345
331,3434
332,3456
333,3471
334,3477
335,3474
336,3486
337,3498
338,3486
339,3492
340,3492
341,3498
342,3506
343,3490
344,3492
345,3487
346,3481
347,3490
348,3320
349,2572
350,2578
351,2604
352,2624
353,2616
354,2627
355,2635
356,2652
357,2642
358,2638
359,2624
360,2632
361,2610
362,2604
363,2610
364,2616
365,2628
366,2613
367,2613
368,2604
369,2592
370,2595
371,2595
372,2604
373,2610
374,2606
375,2608
376,2592
377,2605
378,2603
379,2676
380,2556
381,2550
382,2579
383,2575
384,2664
385,2658
386,2590
387,2600
388,2580
389,2574
390,3354
391,3396
392,3398
393,3413
394,3347
395,3384
396,3383
397,3426
398,3330
399,3408
400,3323
401,3409
402,3420
403,3429
404,3417
405,3420
406,3403
407,3413
408,3405
409,3411
410,3070
411,3069
412,2982
413,2996
414,2994
415,2988
416,2994
417,3006
418,3000
419,3004
420,3013
421,3015
422,3005
423,3007
424,2987
425,2999
426,3012
427,2992
428,2999
429,2997
430,2976
431,2978
432,3000
433,2992
434,2996
435,2978
436,2985
437,3032
438,3095
439,3196
440,3374
441,3370
442,3295
443,2807
444,2430
445,2544
446,2508
447,2538
448,2690
449,2719
450,2739
451,2735
452,2733
453,2728
454,2720
455,2764
456,2754
457,2736
458,2732
459,2740
460,2738
461,2734
462,2742
463,2738
464,2740
465,2742
466,2742
467,2747
468,2731
469,2745
470,2745
471,2747
472,2743
473,2742
474,2747
475,2755
476,2750
477,2752
478,2754
479,2752
480,2744
481,2743
482,2747
483,2736
484,2742
485,2742
486,2742
487,2742
488,2738
489,2746
490,2748
491,2752
492,2753
493,2741
494,2746
495,2736
496,2738
497,2738
498,2731
499,2731
500,2726
501,2719
502,2717
503,2650
504,2696
505,2733
506,2899
507,3348
508,3338
509,3306
510,3304
511,3312
512,3324
513,3378
514,3318
515,3345
516,3357
517,3338
518,3340
519,3342
520,3348
521,3336
522,3350
523,3342
524,3348
525,3348
526,3346
527,3354
528,3344
529,3280
530,3042
531,3020
532,3018
533,2964
534,2934
535,2944
536,2946
537,2940
538,2942
539,2944
540,2930
541,2926
542,2936
543,2926
544,2928
545,2931
546,2925
547,2930
548,2932
549,2927
550,2935
551,2922
552,2928
553,2928
554,2916
555,2928
556,2928
557,2922
558,2930
559,3026
560,3084
561,3176
562,3264
563,3300
564,3268
565,3252
566,3260
567,3248
568,3214
569,3222
570,3222
571,3224
572,3232
573,3228
574,3114
575,3062
576,3010
577,2970
578,2952
579,2952
580,2945
581,2929
582,2958
583,2940
584,2947
585,2957
586,2946
587,2960
588,2957
589,3006
590,3029
591,2978
592,2946
593,2962
594,2957
595,2957
596,2955
597,2957
598,2912
599,2950
600,-1
601,2953
602,2928
603,2939
604,2942
605,2896
606,2946
607,2946
608,2942
609,2940
610,2959
611,2937
612,2952
613,2946
614,2946
615,2946
616,2948
617,2956
618,2979
619,3015
620,3078
621,3138
622,3190
623,3217
624,3220
625,3197
626,3210
627,3244
628,3252
629,3222
630,3225
631,3225
632,3209
633,3175
634,3132
635,3074
636,3046
637,3018
638,3036
639,3006
640,2990
641,2950
642,2951
643,2959
644,2988
645,2982
646,3000
647,3019
648,3037
649,3080
650,3032
651,2984
652,2956
653,2952
654,2953
655,2932
656,2935
657,2934
658,2934
659,2921
660,2941
661,2932
662,2930
663,2929
664,2917
665,2922
666,2932
667,2940
668,2928
669,2940
670,2922
671,2943
672,3015
673,3018
674,3020
675,3001
676,3037
677,3389
678,2970
679,2719
680,2723
681,2712
682,2814
683,3338
684,3336
685,3358
686,3336
687,3332
688,3346
689,3338
690,3342
691,3306
692,3336
693,3336
694,3321
695,3361
696,3354
697,3310
698,3341
699,3357
700,3336
701,3342
702,3366
703,3360
704,3375
705,3363
706,3372
707,3366
708,3384
709,3210
710,2960
711,2938
712,2884
713,2909
714,2909
715,2907
716,2914
717,2924
718,2911
719,2912
720,2905
721,2912
722,2914
723,2910
724,2890
725,2900
726,2900
727,2902
728,2904
729,2900
730,2906
731,2900
732,3112
733,3358
734,3367
735,3381
736,3366
737,3372
738,3354
739,3355
740,3371
741,3354
742,3344
743,3358
744,3348
745,3318
746,3330
747,3354
748,3348
749,3342
750,3354
751,3356
752,3343
753,3345
754,3360
755,3339
756,3369
757,3355
758,3371
759,3362
760,3360
761,3358
762,3372
763,3355
764,3365
765,3365
766,3367
767,3350
768,3364
769,3362
770,3016
771,3006
772,2952
773,2978
774,2928
775,2933
776,2945
777,2934
778,2940
779,2940
780,2929
781,2939
782,2940
783,2938
784,2947
785,2935
786,2934
787,2940
788,2936
789,2950
790,2944
791,2994
792,3124
793,3382
794,3396
795,3381
796,3381
797,3368
798,3366
799,3352
800,3180
801,3148
802,3300
803,3344
804,3317
805,3307
806,3336
807,3312
808,3324
809,3312
810,3324
811,3308
812,3250
813,3318
814,3384
815,3360
816,3355
817,3329
818,3346
819,3316
820,3372
821,3372
822,3367
823,3381
824,3376
825,3370
826,3354
827,3366
828,3376
829,3374
830,3064
831,3006
832,2931
833,2923
834,2920
835,2928
836,2925
837,2937
838,2934
839,2928
840,2930
841,2926
842,2928
843,2926
844,2926
845,2931
846,2923
847,2918
848,2914
849,2922
850,2918
851,3023
852,3353
853,3342
854,3342
855,3342
856,3348
857,3322
858,3346
859,3328
860,3318
861,3348
862,3344
863,3340
864,3348
865,3306
866,3338
867,3334
868,3300
869,3324
870,3318
871,3326
872,3318
873,3330
874,3323
875,3296
876,3348
877,3330
878,3344
879,3328
880,3348
881,3342
882,3338
883,3346
884,3348
885,3333
886,3339
887,3342
888,3022
889,2986
890,2937
891,2929
892,2926
893,2893
894,2929
895,2925
896,2921
897,2927
898,2914
899,2912
900,2917
901,2915
902,2921
903,2914
904,2914
905,2914
906,2905
907,2903
908,2928
909,2922
910,2922
911,2924
912,2932
913,2944
914,2932
915,2986
916,3244
917,3356
918,3348
919,3372
920,3355
921,3313
922,3332
923,3334
924,3372
925,3318
926,3330
927,3294
928,3270
929,3324
930,3290
931,3274
932,3354
933,3318
934,3342
935,3327
936,3303
937,3330
938,3330
939,3334
940,3326
941,3342
942,3316
943,3338
944,3317
945,3337
946,3342
947,3334
948,3338
949,3228
950,3025
951,2987
952,2954
953,2944
954,2943
955,2949
956,2935
957,2951
958,2934
959,2922
960,2916
961,2923
962,2932
963,2905
964,2910
965,2922
966,2918
967,2935
968,2925
969,2920
970,2930
971,2934
972,2934
973,2940
974,2936
975,2937
976,2925
977,2920
978,2916
979,2941
980,2983
981,3023
982,3058
983,3092
984,3101
985,3063
986,3081
987,3072
988,3066
989,3092
990,3118
991,3090
992,3066
993,3054
994,3016
995,2991
996,2951
997,2935
998,2942
999,2951
1000,2932
1001,2946
1002,2952
1003,2962
1004,2948
1005,2944
1006,2937
1007,2929
1008,2933
1009,2937
1010,2930
1011,2928
1012,2940
1013,2998
1014,2979
1015,2927
1016,2922
1017,2922
1018,2922
1019,2928
1020,2934
1021,2934
1022,2930
1023,2928
1024,2931
1025,2929
1026,2935
1027,2927
1028,2931
1029,2949
1030,2940
1031,2928
1032,2930
1033,2944
1034,2948
1035,2940
1036,2910
1037,2922
1038,2958
1039,2998
1040,3072
1041,3137
1042,3255
1043,3298
1044,3306
1045,3300
1046,3285
1047,3285
1048,3270
1049,3260
1050,3244
1051,3248
1052,3220
1053,3211
1054,3173
1055,3096
1056,3012
1057,2954
1058,2938
1059,2934
1060,2928
1061,2934
1062,2939
1063,3205
1064,3024
1065,2994
1066,2967
1067,2967
1068,2987
1069,2977
1070,2875
1071,2879
1072,2882
1073,2884
1074,2876
1075,2875
1076,2877
1077,2877
1078,2872
1079,2879
1080,2887
1081,2885
1082,2876
1083,2878
1084,2868
1085,2868
1086,2862
1087,2856
1088,2862
1089,2869
1090,2866
1091,2860
1092,2883
1093,2942
1094,2954
1095,2936
1096,2940
1097,2964
1098,3350
1099,3346
1100,3330
1101,3336
1102,3342
1103,3333
1104,3339
1105,3366
1106,3360
1107,3356
1108,3323
1109,3338
1110,3327
1111,3341
1112,3330
1113,3349
1114,3360
1115,3354
1116,3375
1117,3351
1118,3372
1119,3374
1120,3382
1121,3374
